id,kanjis_id,read_full,yomigana,okurigana,is_japanese_reading
4125,2005,ゆ-らぐ,ゆ,らぐ,true
4126,2005,ゆ-るぐ,ゆ,るぐ,true
4127,2005,ゆ-する,ゆ,する,true
4128,2005,ゆ-さぶる,ゆ,さぶる,true
4129,2005,ゆ-すぶる,ゆ,すぶる,true
4130,2006,ヨウ,ヨウ,,false
4131,2006,は,は,,true
4132,2007,ヨウ,ヨウ,,false
4133,2008,ヨウ,ヨウ,,false
4134,2008,と-ける,と,ける,true
4135,2008,と-かす,と,かす,true
4136,2008,と-く,と,く,true
4137,2009,ヨウ,ヨウ,,false
4138,2009,こし,こし,,true
4139,2010,ヨウ,ヨウ,,false
4140,2010,さま,さま,,true
4141,2011,ヨウ,ヨウ,,false
4142,2012,ヨウ,ヨウ,,false
4143,2012,おど-る,おど,る,true
4144,2012,おど-り,おど,り,true
4145,2013,ヨウ,ヨウ,,false
4146,2013,かま,かま,,true
4147,2014,ヨウ,ヨウ,,false
4148,2014,やしな-う,やしな,う,true
4149,2015,ヨウ,ヨウ,,false
4150,2016,ヨウ,ヨウ,,false
4151,2016,うたい,うたい,,true
4152,2016,うた-う,うた,う,true
4153,2017,ヨウ,ヨウ,,false
4154,2018,ヨク,ヨク,,false
4155,2018,おさ-える,おさ,える,true
4156,2019,ヨク,ヨク,,false
4157,2020,ヨク,ヨク,,false
4158,2020,あ-びる,あ,びる,true
4159,2020,あ-びせる,あ,びせる,true
4160,2021,ヨク,ヨク,,false
4161,2021,ほっ-する,ほっ,する,true
4162,2021,ほ-しい,ほ,しい,true
4163,2022,ヨク,ヨク,,false
4164,2023,ヨク,ヨク,,false
4165,2023,つばさ,つばさ,,true
4166,2024,ラ,ラ,,false
4167,2025,ラ,ラ,,false
4168,2025,はだか,はだか,,true
4169,2026,ラ,ラ,,false
4170,2027,ライ,ライ,,false
4171,2027,く-る,く,る,true
4172,2027,きた-る,きた,る,true
4173,2027,きた-す,きた,す,true
4174,2028,ライ,ライ,,false
4175,2028,かみなり,かみなり,,true
4176,2029,ライ,ライ,,false
4177,2029,たの-む,たの,む,true
4178,2029,たの-もしい,たの,もしい,true
4179,2029,たよ-る,たよ,る,true
4180,2030,ラク,ラク,,false
4181,2030,から-む,から,む,true
4182,2030,から-まる,から,まる,true
4183,2030,から-める,から,める,true
4184,2031,ラク,ラク,,false
4185,2031,お-ちる,お,ちる,true
4186,2031,お-とす,お,とす,true
4187,2032,ラク,ラク,,false
4188,2033,ラツ,ラツ,,false
4189,2034,ラン,ラン,,false
4190,2034,みだ-れる,みだ,れる,true
4191,2034,みだ-す,みだ,す,true
4192,2035,ラン,ラン,,false
4193,2035,たまご,たまご,,true
4194,2036,ラン,ラン,,false
4195,2037,ラン,ラン,,false
4196,2038,ラン,ラン,,false
4197,2038,あい,あい,,true
4198,2039,ラン,ラン,,false
4199,2040,リ,リ,,false
4200,2041,リ,リ,,false
4201,2041,き-く,き,く,true
4202,2042,リ,リ,,false
